album_uri,artist_uri
spotify:album:1b2aoeaYZZBWmJoavOQhnd,spotify:artist:003f4bk13c6Q3gAUXv7dGJ
spotify:album:04ygc7Z2gcGtt7m8pnVUwf,spotify:artist:00DuPiLri3mNomvvM3nZvU
spotify:album:1D92WOHWUI2AGQCCdplcXL,spotify:artist:00FQb4jTyendYWaN8pK0wa
spotify:album:1JnjcAIKQ9TSJFVFierTB8,spotify:artist:00FQb4jTyendYWaN8pK0wa
spotify:album:1ORxRsK3MrSLvh7VQTF01F,spotify:artist:00FQb4jTyendYWaN8pK0wa
spotify:album:2DpEBrjCur1ythIZ10gJWw,spotify:artist:00FQb4jTyendYWaN8pK0wa
spotify:album:4X8hAqIWpQyQks2yRhyqs4,spotify:artist:00FQb4jTyendYWaN8pK0wa
spotify:album:5XpEKORZ4y6OrCZSKsi46A,spotify:artist:00FQb4jTyendYWaN8pK0wa
spotify:album:7xYiTrbTL57QO0bb4hXIKo,spotify:artist:00FQb4jTyendYWaN8pK0wa
spotify:album:04EniWu488MF6louRYafKJ,spotify:artist:01XYiBYaoMJcNhPokrg0l0
spotify:album:2nei1QXcpDotdoMz3IQxr4,spotify:artist:01XYiBYaoMJcNhPokrg0l0
spotify:album:2xPdgNkM4yIQmP7axJ1T1o,spotify:artist:01XYiBYaoMJcNhPokrg0l0
spotify:album:325MEzmbNCQvjsP3oaJh4x,spotify:artist:01XYiBYaoMJcNhPokrg0l0
spotify:album:4PrRd0lIunUEiiE5rbZklR,spotify:artist:01XYiBYaoMJcNhPokrg0l0
spotify:album:71hjsg660uio3Z8bnbB6fS,spotify:artist:01XYiBYaoMJcNhPokrg0l0
spotify:album:7HGjNJBj1NQGNwCzFD2LHj,spotify:artist:01XYiBYaoMJcNhPokrg0l0
spotify:album:4Mz79lV4qxaywmthkarIf7,spotify:artist:01wau5CL3Z1vfJJWkzBkqg
spotify:album:5fTeBDOk2HaA6MwHSspPIx,spotify:artist:01wau5CL3Z1vfJJWkzBkqg
spotify:album:09Q3WwGYsQe5ognkvVkmCu,spotify:artist:02kJSzxNuaWGqwubyUba0Z
spotify:album:5RwBI4pEinXbIiUhWzAMbX,spotify:artist:03EYBMnqSchCMp5D9qmFXi
spotify:album:2McJE8dHLru3MgR1bcxdyF,spotify:artist:04L3elxyr0XFua2Ek3domW
spotify:album:3b8iQhtbLD0Vn4EqQzMC3N,spotify:artist:04L3elxyr0XFua2Ek3domW
spotify:album:1Rv9WRKyYhFaGbuYDaQunN,spotify:artist:04gDigrS5kc9YWfZHwBETP
spotify:album:2Auw0pTT6EcQdvHNimhLQI,spotify:artist:04gDigrS5kc9YWfZHwBETP
spotify:album:2H4DCvJiZknLngsD2Yqf6k,spotify:artist:04gDigrS5kc9YWfZHwBETP
spotify:album:2pjfMmH52fryXVQuWTWOgP,spotify:artist:04gDigrS5kc9YWfZHwBETP
spotify:album:7strNUlU6xZqlVWBNUdOYv,spotify:artist:04gDigrS5kc9YWfZHwBETP
spotify:album:3GJjPtV0iPKM3fLPvqdURX,spotify:artist:04u3fc37nHFKN7GJTSIwI8
spotify:album:089QU9ZClm6mksCrXCDBSi,spotify:artist:05CRzFTp7TouOXPuH6Tapu
spotify:album:3GJjPtV0iPKM3fLPvqdURX,spotify:artist:05CRzFTp7TouOXPuH6Tapu
spotify:album:6TXaOwBLoyJrD6vem7L8Ba,spotify:artist:05CRzFTp7TouOXPuH6Tapu
spotify:album:63PgGSb6ZkwPVfMZVOhObO,spotify:artist:05MlomiA9La0OiNIAGqECk
spotify:album:151w1FgRZfnKZA9FEcg9Z3,spotify:artist:06HL4z0CvFAxyc27GXpf02
spotify:album:1EoDsNmgTLtmwe1BDAVxV5,spotify:artist:06HL4z0CvFAxyc27GXpf02
spotify:album:1KlU96Hw9nlvqpBPlSqcTV,spotify:artist:06HL4z0CvFAxyc27GXpf02
spotify:album:1NAmidJlEaVgA3MpcPFYGq,spotify:artist:06HL4z0CvFAxyc27GXpf02
spotify:album:2QJmrSgbdM35R67eoGQo4j,spotify:artist:06HL4z0CvFAxyc27GXpf02
spotify:album:2Xoteh7uEpea4TohMxjtaq,spotify:artist:06HL4z0CvFAxyc27GXpf02
spotify:album:2dqn5yOQWdyGwOpOIi9O4x,spotify:artist:06HL4z0CvFAxyc27GXpf02
spotify:album:2fenSS68JI1h4Fo296JfGr,spotify:artist:06HL4z0CvFAxyc27GXpf02
spotify:album:4hDok0OAJd57SGIT8xuWJH,spotify:artist:06HL4z0CvFAxyc27GXpf02
spotify:album:5MfAxS5zz8MlfROjGQVXhy,spotify:artist:06HL4z0CvFAxyc27GXpf02
spotify:album:5MxXY7DbFMUiHFTPUabgJJ,spotify:artist:06HL4z0CvFAxyc27GXpf02
spotify:album:6DEjYFkNZh67HP7R9PSZvv,spotify:artist:06HL4z0CvFAxyc27GXpf02
spotify:album:7mzrIsaAjnXihW3InKjlC3,spotify:artist:06HL4z0CvFAxyc27GXpf02
spotify:album:7vzYp7FrKnTRoktBYsx9SF,spotify:artist:06HL4z0CvFAxyc27GXpf02
spotify:album:1h3x5tLWXhf438Y5AK60Ml,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y
spotify:album:2e5CxfyEwBW115beiwh7Mc,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y
spotify:album:3wDeTllVvayYsWTHsFNWZQ,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y
spotify:album:4PeZu0It7qVrTG40t3HM9A,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y
spotify:album:59eUYETmE1zi31ESb3SUkI,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y
spotify:album:5O6izFQ2veRaZOcQSyOi4o,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y
spotify:album:5z6BFXI711HbSAXDjgOAHE,spotify:artist:080apEI56n6y4wL1epxCDo
spotify:album:0BwWUstDMUbgq2NYONRqlu,spotify:artist:08GQAI4eElDnROBrJRGE0X
spotify:album:5FIN8pyPVx8ggNs5jQ86Re,spotify:artist:08GQAI4eElDnROBrJRGE0X
spotify:album:5VIQ3VaAoRKOEpJ0fewdvo,spotify:artist:08GQAI4eElDnROBrJRGE0X
spotify:album:2SUUafWH8ZchpD7eNBzXJy,spotify:artist:09fZOcPYim8MvvQieKkv5t
spotify:album:2KxC2M0bVm5hrK3GgGMuV9,spotify:artist:0AepkoQhYvkjEzzwIcGxdV
spotify:album:1FXVq4BLk6Vl6Kr7TeSoYF,spotify:artist:0AythHu8oDXnRGp8qviBPj
spotify:album:4tp4dyeVhcG7kM2jUi3Yj5,spotify:artist:0B1ce3uNrzkdm76NXI4mhX
spotify:album:32pXXle0zoKIFG03iefH2c,spotify:artist:0BqRGrwqndrtNkojXiqIzL
spotify:album:3GnhJ2bDR3nR95f0y4UV5h,spotify:artist:0BqRGrwqndrtNkojXiqIzL
spotify:album:4BLxIwHfv87WeOQ9A4sm9E,spotify:artist:0BqRGrwqndrtNkojXiqIzL
spotify:album:4piJq7R3gjUOxnYs6lDCTg,spotify:artist:0C0XlULifJtAgn6ZNCW2eu
spotify:album:7lDBDk8OQarV5dBMu3qrdz,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx
spotify:album:0S6Yq3EcpbHhj1r0cuYChA,spotify:artist:0CJkEzffVZLgav03xXeC9s
spotify:album:3999VmQrZOafu4NjYkc0rj,spotify:artist:0CJkEzffVZLgav03xXeC9s
spotify:album:4knaQg3CtzHlA2m99NS7xW,spotify:artist:0CJkEzffVZLgav03xXeC9s
